week,RestingHeartRate,HRV,ExerciseTime,Sleep,Daylight,HeadphoneAudio,TrendSummary,LLM_Nudge
2021-12-27,,,,,,-0.6157082745096419,Noise Exposure: -0.62,"""Consider wearing noise-reducing headphones or taking regular breaks in quiet spaces to minimize excessive noise exposure (-0.62) and protect your auditory health."""
2022-01-03,,,,,,-0.5723202602174301,Noise Exposure: -0.57,"""Consider ear protection or noise-reducing measures due to excessive noise exposure, as a score of -0.57 indicates potential hearing strain."""
2022-03-07,,,,,,1.0549015771179426,Noise Exposure: +1.05,"""Consider using hearing protection or reducing noise exposure to minimize potential long-term auditory damage."""
2022-03-14,-0.7071067811865476,,0.7071067811865476,,,0.4494143279253869,Resting HR: -0.71 | Exercise Time: +0.71,"""Boost your physical activity with a moderate intensity workout to counterbalance your sluggish resting heart rate."""
2022-03-28,0.1441373849276951,,-0.6078929720690722,,,0.0218993890414652,Exercise Time: -0.61,"""Boost your daily movement by 15-20 minutes to counteract recent exercise time decline."""
2022-04-11,-0.5100630179171857,,0.2896947894557128,,,0.1262725999825211,Resting HR: -0.51,"""Consider incorporating gentle cardio exercises to increase heart rate, as a negative resting HR z-score may indicate reduced cardiovascular fitness."""
2022-04-25,0.3747775868304215,,0.8263751264433524,,,-0.8938501562969561,Exercise Time: +0.83 | Noise Exposure: -0.89,"""Consider reducing noise exposure time to minimize potential health risks given your current negative z-score."""
2022-05-02,-0.3518770201200336,,-0.0876072131306083,,,0.980019600382949,Noise Exposure: +0.98,"""Given elevated noise exposure, prioritize hearing protection and explore quieter environments or earplugs to mitigate potential auditory risks."""
2022-05-09,0.2843046177748615,,-0.4435337018224025,,,-0.7267688213810808,Noise Exposure: -0.73,"""Reduce noise exposure to mitigate potential hearing risks; consider ear protection measures to maintain auditory health."""
2022-05-16,-0.3625374351920147,,0.6397995655312254,,,0.0415848889238182,Exercise Time: +0.64,"""Boost your physical activity with an additional 15-minute exercise session today, leveraging the positive momentum of a +0.64 Z-Score trend!"""
2022-05-23,0.3160265727120134,,-0.5169562531728418,,,0.8358647691069573,Exercise Time: -0.52 | Noise Exposure: +0.84,"""Limit noise exposure and prioritize quieter activities to mitigate potential auditory harm and promote overall well-being."""
2022-05-30,0.0063481563058694,,0.3929085138871792,-0.71,,-0.5773513624326,Sleep: -0.71 | Noise Exposure: -0.58,"""Consider improving sleep hygiene to reduce sleep z-score (-0.71) and potentially mitigate negative impacts on overall well-being."""
2022-06-13,-0.1781839919486197,,0.3459255584044896,-0.51,,-0.5095960700595143,Sleep: -0.51 | Noise Exposure: -0.51,"""Prioritize a quiet environment tonight to optimize sleep quality, as both Sleep and Noise Exposure z-scores indicate significant disturbance."""
2022-06-20,-0.2601258836736029,,-0.4619447844031605,,,0.5525725658395568,Noise Exposure: +0.55,"""Consider ear protection or noise-reducing measures to mitigate excessive noise exposure (+0.55 z-score), potentially preserving hearing health."""
2022-07-04,0.5215156343361492,,0.4473018906170137,,,0.5181342439675233,Resting HR: +0.52 | Noise Exposure: +0.52,"""Consider ear protection or adjust noise levels to minimize exposure, as both Resting HR and Noise Exposure are above average."""
2022-07-11,-0.0647187813479343,,-0.5400473699452736,-0.78,,-0.4975223414475614,Exercise Time: -0.54 | Sleep: -0.78,"""Prioritize a 30-minute morning walk to boost exercise time and counterbalance sleep deficit for increased energy and alertness."""
2022-07-25,-0.1113905283768445,,0.2843106647518042,0.74,,-0.5255770011664828,Sleep: +0.74 | Noise Exposure: -0.53,"""Consider using earplugs or noise-cancelling devices to mitigate excessive noise exposure and prioritize sleep quality, given your above-average noise exposure z-score."""
2022-08-01,-0.4532078702485233,,0.1660455035698893,,,-0.5358998188524708,Noise Exposure: -0.54,"""Consider ear protection or modify noise sources at work/home to minimize exposure below -0.54 Z-Score, as prolonged loud sounds may impact hearing health."""
2022-08-22,-0.3380506503644751,,-0.5087328197292199,,,0.3534889632236005,Exercise Time: -0.51,"""Boost physical activity by 15 minutes daily to offset current exercise time deficit."""
2022-08-29,0.6376883577653708,,0.339705185141135,,,0.587062986719888,Resting HR: +0.64 | Noise Exposure: +0.59,"""Consider ear protection or noise-reducing headphones due to elevated noise exposure (+0.59), potentially minimizing hearing strain."""
2022-09-05,-0.7792048644469683,,0.2235094450304643,,,-0.2839729541161137,Resting HR: -0.78,"""Consider gentle cardio exercises to reduce resting heart rate, aiming for a score closer to zero."""
2022-09-19,0.0791778776503483,,0.8428635454130197,,,0.5839752354916412,Exercise Time: +0.84 | Noise Exposure: +0.58,"""Consider reducing noise exposure time due to elevated z-score (+0.58), potentially impacting overall well-being."""
2022-10-31,-0.2477967414379703,,0.0484713432933305,,,-0.7653021454494199,Noise Exposure: -0.77,"""Consider ear protection or noise-reducing measures to minimize potential hearing damage, given your current noise exposure z-score of -0.77."""
2022-11-07,0.1949605554787278,,-0.229487679661602,,,1.7199060397760375,Noise Exposure: +1.72,"""Consider wearing ear protection or adjusting noise exposure habits to prevent potential hearing damage, given the elevated z-score (+1.72)."""
2022-11-14,0.2517346639279341,,-0.115722538313676,0.71,,0.0170233674141137,Sleep: +0.71,"""Based on your elevated Sleep z-score, prioritize establishing a relaxing bedtime routine to support optimal rest and recovery."""
2022-11-21,-0.2320779795362281,,-0.1870277168934966,,,-0.5231875277361837,Noise Exposure: -0.52,"""Consider ear protection or noise-cancelling measures to reduce exposure, as current levels are below average (-0.52), potentially impacting auditory health."""
2022-12-12,0.1421775310878794,,0.5617079421641845,,,-0.1811929349338503,Exercise Time: +0.56,"""Consider increasing your exercise time to capitalize on this positive trend, potentially enhancing overall physical activity and well-being."""
2023-01-02,-0.2354200163433028,,0.8580060678901967,0.64,,0.7021097086011688,Exercise Time: +0.86 | Sleep: +0.64 | Noise Exposure: +0.70,"""Given the positive z-scores for Exercise Time, Sleep, and Noise Exposure, I recommend maintaining your current active routine and exploring noise-reducing strategies to further optimize overall well-being."""
2023-01-16,-0.685695755241322,,-0.6262801851782969,,,0.2501808702861452,Resting HR: -0.69 | Exercise Time: -0.63,"""Consider incorporating more physical activity to boost your heart rate and cardiovascular health, given the lower-than-average resting HR and exercise time."""
2023-01-30,0.0668879742248332,,-0.6853475440540145,,,0.2237774011285314,Exercise Time: -0.69,"""Consider increasing exercise time to offset negative trends; even small increments can have a positive impact on overall well-being."""
2023-02-06,0.5131892587065173,,0.1188962851019544,,,-0.0179621016465582,Resting HR: +0.51,"""Consider incorporating stress-reducing activities, such as yoga or meditation, given your elevated Resting HR (+0.51), which may benefit heart rate variability."""
2023-03-13,0.5130626212215833,,0.0408063602812234,0.55,,0.3539258170792985,Resting HR: +0.51 | Sleep: +0.55,"""Consider increasing physical activity to offset elevated resting heart rate and optimize overall cardiovascular well-being."""
2023-03-27,-0.1931808329784956,,-0.0609607210654643,,,-0.5660933183326072,Noise Exposure: -0.57,"""Reduce noise exposure by using ear protection or adjusting work environments due to your current score of -0.57, potentially impacting hearing health."""
2023-04-03,0.0172913765572318,,-0.0150090708242371,,,1.2045548180911954,Noise Exposure: +1.20,"""Consider investing in noise-reducing ear protection or adjusting workspaces to minimize excessive noise exposure, as the current +1.20 z-score may be impacting auditory health."""
2023-04-17,-0.03178022744772,,0.3213388799033972,,,-0.645377224671228,Noise Exposure: -0.65,"""Consider wearing ear protection or reducing noise exposure to mitigate potential hearing risks given your negative z-score of -0.65."""
2023-04-24,-0.6274487061266196,,-0.3903554699952427,,,0.7897813128267068,Resting HR: -0.63 | Noise Exposure: +0.79,"""Wear ear protection during noise exposure due to elevated z-score (+0.79), ensuring auditory health."""
2023-05-01,0.1361612054373512,,0.278530561860251,,,-1.0422593399105302,Noise Exposure: -1.04,"""Consider wearing noise-reducing gear or adjusting work environments to mitigate prolonged noise exposure (-1.04), preserving auditory health."""
2023-05-08,0.4035264371176749,,-0.5883014580378167,,,-0.653875721870585,Exercise Time: -0.59 | Noise Exposure: -0.65,"""Consider reducing noise exposure by 30 minutes daily to minimize potential negative effects on overall well-being."""
2023-05-15,0.2153550896081808,,-0.0255937358761919,,,1.2114675247447595,Noise Exposure: +1.21,"""Consider wearing ear protection or limiting noise exposure due to elevated z-score (+1.21), potentially reducing hearing-related risks."""
2023-05-29,0.1691258256244039,,0.3465188468384781,,,0.8897482030650963,Noise Exposure: +0.89,"""Consider using noise-cancelling headphones or earplugs regularly to mitigate excessive noise exposure and reduce potential long-term hearing health risks."""
2023-06-05,-0.0841444295378204,,-0.2279264319710972,,,-0.5618130222465719,Noise Exposure: -0.56,"""Prioritize reducing noise exposure by exploring quieter environments or using ear protection, as excessive noise can negatively impact overall well-being."""
2023-06-12,0.9543770171622188,,0.2965862097260796,,,0.8462038265859737,Resting HR: +0.95 | Noise Exposure: +0.85,"""Prioritize ear protection or noise reduction measures due to elevated Noise Exposure (+0.85), potentially affecting auditory health."""
2023-06-19,-0.3195584668099576,,0.1876750622035103,-0.57,,-0.6018016258141925,Sleep: -0.57 | Noise Exposure: -0.60,"""Prioritize a quiet sleep environment or consider earplugs to mitigate excessive noise exposure, as both metrics suggest you're struggling with restful sleep."""
2023-07-17,-0.1425680546249064,,0.340992898856334,,,-0.6153904363379946,Noise Exposure: -0.62,"""Given your noise exposure z-score of -0.62, consider wearing ear protection or limiting loud activities to preserve hearing health."""
2023-07-24,0.0013214989293452,,-0.2904501698392427,,,-0.5130993834539489,Noise Exposure: -0.51,"""Consider ear protection or noise reduction techniques due to excessive noise exposure (Z-Score: -0.51), potentially impacting hearing health."""
